state,date,crop_type,planted_area,production,temperature,humidity
Malaysia,1/1/17,cash_crops,20763.1,217847.5, 27  ,81%
Malaysia,1/1/18,cash_crops,19028.2,215087.6,26 ,83%
Malaysia,1/1/19,cash_crops,17082,221310.2,28 ,"	80%"
Malaysia,1/1/20,cash_crops,19090.9,223506.8,29 ,81%
Malaysia,1/1/21,cash_crops,20070.3,239011.9,27 ,77%
Malaysia,1/1/22,cash_crops,18329.1,215632.4,28省C,78%
Malaysia,1/1/17,coconut,83250.1,517588.5,27 ,81%
Malaysia,1/1/18,coconut,83436.4,491465.4,26 ,83%
Malaysia,1/1/19,coconut,86466.3,536605.7,28 ,"	80%"
Malaysia,1/1/20,coconut,84942,560984.3,29 ,81%
Malaysia,1/1/21,coconut,81469.6,557353.7,27 ,77%
Malaysia,1/1/22,coconut,84935.9,604428.4,28 ,78%
Malaysia,1/1/17,vegetables,2605.1,509085932,27省C,81%
Malaysia,1/1/18,vegetables,2652,518249478,26 ,83%
Malaysia,1/1/19,vegetables,2702.3,528096218,28 ,"	80%"
Malaysia,1/1/20,vegetables,2626.7,402409318,29 ,81%
Malaysia,1/1/21,vegetables,2554.4,348326666,27 ,77%
Malaysia,1/1/22,vegetables,2588.4,355423782.2,28 ,78%
Malaysia,1/1/17,fruits,208590.1,1492600.9,27省C,81%
Malaysia,1/1/18,fruits,195480.6,1543086,26 ,83%
Malaysia,1/1/19,fruits,184549.5,1560906,28 ,"	80%"
Malaysia,1/1/20,fruits,191865.9,1549790.6,29 ,81%
Malaysia,1/1/21,fruits,199419.8,1686875.5,27 ,77%
Malaysia,1/1/22,fruits,203431.3,1827992.3,28 ,78%
Malaysia,1/1/17,herbs,2424.2,11741.9,27省C,81%
Malaysia,1/1/18,herbs,3010.5,12389.4,26 ,83%
Malaysia,1/1/19,herbs,2315.7,9018.6,28 ,"	80%"
Malaysia,1/1/20,herbs,2079.6,9077.1,29 ,81%
Malaysia,1/1/21,herbs,2017.7,9339.8,27 ,77%
Malaysia,1/1/22,herbs,2108,9951.2,28 ,78%
Malaysia,1/1/17,industrial_crops,133928.5,758335,27省C,81%
Malaysia,1/1/18,industrial_crops,132761.2,589940.1,26 ,83%
Malaysia,1/1/19,industrial_crops,138490,755630,28 ,"	80%"
Malaysia,1/1/20,industrial_crops,159486,716977.6,29 ,81%
Malaysia,1/1/21,industrial_crops,156385,713949.5,27 ,77%
Malaysia,1/1/22,industrial_crops,127771.6,741168.3,28 ,78%
Malaysia,1/1/17,paddy,685548,2570513,27省C,81%
Malaysia,1/1/18,paddy,699980,2639202,26 ,83%
Malaysia,1/1/19,paddy,672084,2352870,28 ,"	80%"
Malaysia,1/1/20,paddy,644908.2,2356391.9,29 ,81%
Malaysia,1/1/21,paddy,647936,2441597,27 ,77%
Malaysia,1/1/22,paddy,637935,2281739,28 ,78%
Malaysia,1/1/17,spices,7467.3,60457.8,27省C,81%
Malaysia,1/1/18,spices,6552.6,55195.1,26 ,83%
Malaysia,1/1/19,spices,5815.6,51336.7,28 ,"	80%"
Malaysia,1/1/20,spices,5958.6,52541.3,29 ,81%
Malaysia,1/1/21,spices,5978.1,54037.9,27 ,77%
Malaysia,1/1/22,spices,5913.8,53727.4,28 ,78%
Malaysia,1/1/17,flowers,62538.5,1003536.5,27省C,81%
Malaysia,1/1/18,flowers,58817.7,997745.4,26 ,83%
Malaysia,1/1/19,flowers,62025.9,1020713.7,28 ,"	80%"
Malaysia,1/1/20,flowers,61613.6,1030064.1,29 ,81%
Malaysia,1/1/21,flowers,65911,1088038.6,27 ,77%
Malaysia,1/1/22,flowers,68111.6,1163793.3,28 ,78%
Johor,1/1/17,cash_crops,3780.3,42424.1,28 ,77%
Johor,1/1/18,cash_crops,3483.7,43420.4,27 ,77%
Johor,1/1/19,cash_crops,3007.5,38566.7,29 ,75%
Johor,1/1/20,cash_crops,3056.2,42963,28 ,77%
Johor,1/1/21,cash_crops,3522.4,47538.7,26 ,83%
Johor,1/1/22,cash_crops,3397.3,46960,28 ,73%
Johor,1/1/17,coconut,14931.6,107731,28 ,77%
Johor,1/1/18,coconut,12949.7,95495.7,27 ,77%
